id,cx,cy,path,uri,alt
1,130,105,ac,https://sites.google.com/view/coastal-climate-science/experiments/carbon-dioxide-in-water,Experiment: See carbon dioxide (CO2) dissolved in water
2,315,75,ab,https://sites.google.com/view/coastal-climate-science/experiments/greenhouse-expt,Experiment: Observe the greenhouse effect in a jar
3,320,180,bd,https://sites.google.com/view/coastal-climate-science/experiments/conduction-air-water,Analysis: Investigate the impact that warmer air is having on the oceans
4,400,180,be,https://sites.google.com/view/coastal-climate-science/experiments/evaporation-and-temperature,Experiment: See water vapor in air of various temperatures
5,455,180,bf,https://sites.google.com/view/coastal-climate-science/experiments/conduction-air-ice,Analysis: Investigate the impact that warmer air is having on glaciers and ice sheets
6,320,235,de,https://sites.google.com/view/coastal-climate-science/experiments/evap-over-warm-ocean,Experiment: Investigate the evaporation from water of various temperatures
7,295,280,di,https://sites.google.com/view/coastal-climate-science/experiments/water-temp-and-currents,Experiment: Investigate changes in water density due to temperature
8,385,280,el,https://sites.google.com/view/coastal-climate-science/experiments/more-water-vapor,Analysis: Effect of increased water vapor on weather patterns
9,475,280,fh,https://sites.google.com/view/coastal-climate-science/experiments/ice-melting,Experiment: Compare the effects of melted ice from the land and from the sea
10,525,280,fg,https://sites.google.com/view/coastal-climate-science/experiments/fresh-water-to-ocean,Experiment: Investigate the density of salt water with a carrot
11,285,335,dh,https://sites.google.com/view/coastal-climate-science/experiments/thermal-expansion,Experiment: Thermal expansion of water - easy demonstration in a water bottle
12,585,335,bl,https://sites.google.com/view/coastal-climate-science/experiments/heat-waves,Analysis: Explore heat-related extreme weather
13,25,375,cm,https://sites.google.com/view/coastal-climate-science/experiments/acidification-analysis,Analysis: Ocean acidification on corals and other marine life
14,120,375,dj,https://sites.google.com/view/coastal-climate-science/experiments/dissolved-oxygen,Analysis: Investigate how temperature affects the oxygen in water
15,170,375,dm,https://sites.google.com/view/coastal-climate-science/experiments/warm-water-fish,Analysis: Learn how warmer water affects fish
16,215,375,dk,https://sites.google.com/view/coastal-climate-science/experiments/warm-water-algae,Experiment: Investigate the effect of temperature on algae in coastal water
17,490,380,gi,https://sites.google.com/view/coastal-climate-science/experiments/salinity-and-currents,Experiment: Investigate changes in water density due to salinity
18,400,495,im,https://sites.google.com/view/coastal-climate-science/experiments/change-in-currents,Analysis: Explore how changes in ocean currents affect marine life 
19,400,550,lk,https://sites.google.com/view/coastal-climate-science/experiments/runoff,Experiment: Investigate the effect of runoff on algae in coastal water
20,145,615,jm,,
21,220,615,km,,
22,295,615,kn,,
23,355,590,hn,https://sites.google.com/view/coastal-climate-science/experiments/flooding,Analysis : Investigate the impact that the rising sea level is having on land
24,400,615,lm,https://sites.google.com/view/coastal-climate-science/experiments/extreme-under-water,Analysis : Investigate damage to undersea life from hurricanes and extreme weather events
25,425,615,ln,https://sites.google.com/view/coastal-climate-science/experiments/extreme-on-land,Analysis: Investigate the impact that extreme weather is having on land
26,265,770,mn,,
